id,tag,pax_id,flight,state,state_name,weight_kg,lane,threat_score,flagged,inspected,priority
192,MK963615,193,MK050,4,Loaded,28.0,1,0.2650,0,0,0
193,MK157035,194,MK050,4,Loaded,26.3,0,0.0482,0,0,0
194,MK548381,197,MK208,4,Loaded,14.5,2,0.0054,0,0,1
195,MK127164,199,MK208,7,Held,27.6,2,0.9240,1,0,0
196,MK857178,199,MK208,4,Loaded,17.4,2,0.0289,0,0,0
197,MK932507,200,MK208,7,Held,19.4,3,0.9775,1,0,0
198,MK294048,200,MK208,4,Loaded,15.4,2,0.1895,0,0,0
199,4Z303598,201,4Z255,4,Loaded,15.4,1,0.0268,0,0,0
200,4Z511239,202,4Z255,4,Loaded,25.9,3,0.0346,0,0,0
201,4Z850667,203,4Z255,4,Loaded,8.1,0,0.0124,0,0,0
202,4Z496404,205,4Z255,4,Loaded,15.8,3,0.0557,0,0,0
203,4Z425417,205,4Z255,4,Loaded,7.2,1,0.0147,0,0,0
204,MK281295,206,MK044,4,Loaded,13.4,0,0.0478,0,0,0
205,MK242446,207,MK044,4,Loaded,27.7,3,0.0029,0,0,0
206,MK293263,207,MK044,4,Loaded,29.4,2,0.0275,0,0,0
207,MK342224,210,MK044,4,Loaded,8.1,3,0.0996,0,0,0
208,MK209810,211,MK044,4,Loaded,28.1,1,0.0084,0,0,1
209,MK132709,212,MK044,4,Loaded,23.3,2,0.0028,0,0,1
210,MK136687,212,MK044,4,Loaded,14.3,1,0.0729,0,0,1
211,MK965688,214,MK044,4,Loaded,19.8,1,0.0116,0,0,1
212,MK617872,214,MK044,4,Loaded,15.7,2,0.1391,0,0,1
213,MK207064,216,MK044,7,Held,19.4,2,0.5806,1,0,0
214,MK179507,218,MK044,4,Loaded,12.9,2,0.0338,0,0,0
215,MK494544,218,MK044,4,Loaded,6.7,2,0.0410,0,0,0
216,MK889489,219,MK044,4,Loaded,19.0,1,0.0503,0,0,0
217,MK871948,220,MK044,4,Loaded,20.3,3,0.0306,0,0,0
218,MK855147,221,MK044,4,Loaded,7.2,2,0.0142,0,0,0
219,MK360026,221,MK044,7,Held,19.5,3,0.8194,1,0,0
220,UU654751,222,UU979,4,Loaded,18.7,0,0.0576,0,0,1
221,UU745311,223,UU979,4,Loaded,9.0,0,0.0551,0,0,0
222,UU764272,223,UU979,4,Loaded,7.3,0,0.0690,0,0,0
223,UU613327,224,UU979,4,Loaded,25.8,2,0.0391,0,0,0
224,UU499836,225,UU979,4,Loaded,28.8,1,0.1293,0,0,0
225,UU507072,226,UU979,4,Loaded,26.3,2,0.0127,0,0,0
226,UU164571,226,UU979,4,Loaded,10.7,3,0.0481,0,0,0
227,UU263765,227,UU979,4,Loaded,18.4,2,0.0281,0,0,0
228,UU607341,229,UU979,4,Loaded,20.6,2,0.0239,0,0,0
229,UU207433,229,UU979,4,Loaded,13.2,3,0.0327,0,0,0
230,UU547614,231,UU979,4,Loaded,21.2,2,0.0202,0,0,0
231,DE446470,234,DE2315,4,Loaded,13.3,0,0.0019,0,0,0
232,DE443947,234,DE2315,4,Loaded,8.2,1,0.2367,0,0,0
233,DE602458,235,DE2315,4,Loaded,22.3,1,0.0468,0,0,0
234,DE313867,235,DE2315,7,Held,19.5,0,0.4519,1,0,0
235,DE141440,236,DE2315,7,Held,10.7,1,0.7625,1,0,0
236,DE379230,236,DE2315,4,Loaded,19.5,2,0.0039,0,0,0
237,DE107398,237,DE2315,4,Loaded,30.6,0,0.0161,0,0,0
238,DE898651,237,DE2315,7,Held,6.4,2,0.7292,1,0,0
239,DE961361,238,DE2315,4,Loaded,23.5,1,0.0100,0,0,0
240,DE772998,238,DE2315,4,Loaded,19.1,1,0.0358,0,0,0
241,DE822356,239,DE2315,4,Loaded,30.9,2,0.0401,0,0,1
242,DE719306,240,DE2315,4,Loaded,13.0,3,0.0812,0,0,1
243,DE638818,241,DE2315,4,Loaded,22.0,1,0.0651,0,0,0
244,DE455106,242,DE2315,4,Loaded,28.1,3,0.0234,0,0,0
245,DE147130,242,DE2315,4,Loaded,19.6,3,0.0433,0,0,0
246,DE488123,243,DE2315,4,Loaded,9.6,0,0.2892,0,0,0
247,DE128095,244,DE2315,4,Loaded,27.0,1,0.2293,0,0,0
248,DE206095,246,DE2315,4,Loaded,25.8,3,0.0067,0,0,0
249,DE372434,247,DE2315,4,Loaded,8.8,1,0.0790,0,0,0
250,DE984691,247,DE2315,7,Held,27.9,3,0.9390,1,0,0
251,MK213526,249,MK210,4,Loaded,18.6,0,0.0094,0,0,1
252,MK280292,249,MK210,7,Held,19.4,2,0.9847,1,0,1
253,MK159544,250,MK210,4,Loaded,19.3,2,0.2563,0,0,0
254,MK235449,250,MK210,4,Loaded,17.1,2,0.0056,0,0,0
255,MK724603,251,MK210,4,Loaded,27.9,3,0.2139,0,0,0
256,SV263633,254,SV832,4,Loaded,14.7,3,0.0214,0,0,0
257,SV420702,254,SV832,4,Loaded,13.5,1,0.0398,0,0,0
258,SV588752,257,SV832,4,Loaded,12.6,2,0.0372,0,0,0
259,SV275971,258,SV832,4,Loaded,24.5,2,0.0211,0,0,0
260,SV355463,258,SV832,4,Loaded,6.6,1,0.0232,0,0,0
261,SV671296,260,SV832,4,Loaded,30.0,0,0.2163,0,0,0
262,SV229765,261,SV832,4,Loaded,18.3,1,0.0437,0,0,0
263,SV319887,262,SV832,4,Loaded,12.9,1,0.0042,0,0,0
264,SV157251,262,SV832,4,Loaded,24.4,3,0.0568,0,0,0
265,SV106783,263,SV832,4,Loaded,14.0,0,0.0369,0,0,1
266,SV861554,264,SV832,4,Loaded,27.0,0,0.1558,0,0,0
267,SV329440,265,SV832,4,Loaded,20.7,2,0.0050,0,0,0
268,SV861740,265,SV832,4,Loaded,21.1,0,0.1507,0,0,0
269,SV380805,267,SV832,4,Loaded,27.6,1,0.0479,0,0,0
270,SV773681,268,SV832,7,Held,16.9,2,0.6226,1,0,0
271,MK296618,270,MK046,4,Loaded,12.2,1,0.0253,0,0,0
272,MK937476,270,MK046,4,Loaded,18.8,2,0.1004,0,0,0
273,MK466505,271,MK046,4,Loaded,12.3,3,0.0385,0,0,0
274,MK100187,271,MK046,4,Loaded,6.7,2,0.0327,0,0,0
275,MK623699,274,MK046,4,Loaded,14.1,3,0.1222,0,0,0
276,MK115282,274,MK046,4,Loaded,26.2,2,0.2171,0,0,0
277,MK876524,275,MK046,4,Loaded,8.5,1,0.2829,0,0,0
278,MK891073,275,MK046,4,Loaded,31.5,2,0.0132,0,0,0
279,MK178204,278,MK046,4,Loaded,25.3,0,0.0538,0,0,0
280,MK916454,280,MK046,4,Loaded,30.6,1,0.0313,0,0,0
281,MK269252,281,MK046,4,Loaded,26.4,3,0.3578,0,0,0
282,MK650329,282,MK046,4,Loaded,6.7,3,0.0059,0,0,0
283,MK140068,283,MK046,4,Loaded,7.7,3,0.0565,0,0,1
284,BA523950,285,BA2066,4,Loaded,31.1,3,0.2001,0,0,0
285,BA261505,285,BA2066,4,Loaded,13.0,1,0.0113,0,0,0
286,BA599232,287,BA2066,4,Loaded,24.0,0,0.0331,0,0,0
287,BA281959,288,BA2066,4,Loaded,7.8,1,0.1064,0,0,0
288,BA552610,288,BA2066,4,Loaded,7.9,1,0.0018,0,0,0
289,BA802761,290,BA2066,4,Loaded,19.2,1,0.0231,0,0,0
290,BA763254,291,BA2066,4,Loaded,30.3,0,0.0998,0,0,1
291,BA732239,291,BA2066,4,Loaded,12.3,1,0.1011,0,0,1
292,BA725753,292,BA2066,7,Held,25.9,0,1.0000,1,0,1
293,BA843424,293,BA2066,4,Loaded,18.5,0,0.0100,0,0,0
294,BA507104,293,BA2066,4,Loaded,11.7,3,0.2515,0,0,0
295,BA702430,295,BA2066,4,Loaded,6.7,1,0.0072,0,0,1
296,BA570620,296,BA2066,4,Loaded,22.9,3,0.1275,0,0,0
297,BA188381,296,BA2066,4,Loaded,15.0,1,0.0183,0,0,0
298,BA706975,297,BA2066,4,Loaded,21.1,2,0.3261,0,0,0
299,BA366782,297,BA2066,4,Loaded,18.9,0,0.0950,0,0,0
300,BA169900,298,BA2066,4,Loaded,12.7,3,0.0287,0,0,0
301,BA676952,299,BA2066,4,Loaded,9.9,0,0.0282,0,0,0
302,MK958626,300,MK212,4,Loaded,29.1,2,0.2557,0,0,0
303,MK566466,300,MK212,4,Loaded,27.2,0,0.0385,0,0,0
304,MK704070,301,MK212,4,Loaded,29.0,0,0.1124,0,0,0
305,MK898032,303,MK212,4,Loaded,27.5,0,0.0414,0,0,0
306,MK196850,303,MK212,4,Loaded,14.0,2,0.1589,0,0,0
307,MK735177,305,MK016,4,Loaded,18.8,2,0.0267,0,0,0
308,MK680916,305,MK016,7,Held,21.9,1,0.7686,1,0,0
309,MK219939,307,MK016,4,Loaded,8.3,3,0.0353,0,0,1
310,MK398612,307,MK016,4,Loaded,30.9,0,0.0639,0,0,1
311,MK861126,309,MK016,4,Loaded,7.5,2,0.0193,0,0,0
312,MK360986,311,MK016,4,Loaded,15.4,1,0.0507,0,0,0
313,MK404738,312,MK016,4,Loaded,26.3,3,0.2904,0,0,0
314,MK398820,312,MK016,4,Loaded,29.9,2,0.0434,0,0,0
315,MK517464,313,MK016,4,Loaded,7.7,3,0.1805,0,0,0
316,MK823752,313,MK016,4,Loaded,22.1,3,0.0190,0,0,0
317,MK153271,314,MK016,4,Loaded,20.8,0,0.0854,0,0,0
318,MK301186,314,MK016,7,Held,31.7,3,0.8049,1,0,0
319,MK641504,315,MK016,7,Held,22.7,3,0.6531,1,0,0
320,MK145815,316,MK016,4,Loaded,7.5,3,0.0601,0,0,0
321,MK111619,317,MK016,4,Loaded,27.5,0,0.0230,0,0,0
322,MK127420,318,MK016,4,Loaded,28.0,2,0.0785,0,0,0
323,MK707837,318,MK016,4,Loaded,29.6,1,0.0707,0,0,0
324,EK323456,320,EK704,4,Loaded,24.8,3,0.0174,0,0,0
325,EK337890,321,EK704,4,Loaded,31.3,0,0.0216,0,0,0
326,EK113805,322,EK704,4,Loaded,26.9,2,0.0106,0,0,0
327,EK641586,322,EK704,4,Loaded,9.8,1,0.1041,0,0,0
328,EK162173,323,EK704,4,Loaded,22.1,1,0.0058,0,0,0
329,EK440106,323,EK704,4,Loaded,29.9,1,0.1621,0,0,0
330,EK826106,325,EK704,4,Loaded,29.6,3,0.2518,0,0,0
331,EK319538,326,EK704,4,Loaded,31.1,1,0.0021,0,0,0
332,EK447520,326,EK704,4,Loaded,25.2,0,0.0665,0,0,0
333,EK965180,330,EK704,4,Loaded,10.1,1,0.0542,0,0,1
334,EK290417,330,EK704,4,Loaded,30.4,1,0.0129,0,0,1
335,EK618168,331,EK704,4,Loaded,31.7,2,0.1714,0,0,0
336,EK576713,333,EK704,4,Loaded,19.1,0,0.0305,0,0,0
337,EK452845,333,EK704,4,Loaded,28.9,0,0.0392,0,0,0
338,EK280118,334,EK704,4,Loaded,8.8,3,0.0885,0,0,0
339,MK901212,336,MK054,4,Loaded,16.5,1,0.0525,0,0,0
340,MK423450,338,MK054,4,Loaded,7.9,0,0.0385,0,0,0
341,MK805670,338,MK054,4,Loaded,19.4,0,0.0030,0,0,0
342,4Z140295,340,4Z257,4,Loaded,15.5,1,0.0089,0,0,0
343,4Z852444,340,4Z257,4,Loaded,20.1,1,0.0111,0,0,0
344,4Z570587,341,4Z257,4,Loaded,28.2,0,0.0694,0,0,0
345,4Z253388,343,4Z257,4,Loaded,29.6,1,0.0307,0,0,1
346,MK745334,344,MK032,4,Loaded,30.5,2,0.1787,0,0,0
347,MK280055,344,MK032,4,Loaded,14.4,0,0.0038,0,0,0
348,MK819593,345,MK032,4,Loaded,14.4,3,0.1229,0,0,0
349,MK386145,345,MK032,4,Loaded,8.0,0,0.0305,0,0,0
350,MK696785,346,MK032,4,Loaded,7.5,2,0.2513,0,0,0
351,MK288605,347,MK032,4,Loaded,18.2,0,0.1308,0,0,0
352,MK646519,349,MK032,4,Loaded,8.5,3,0.0090,0,0,0
353,MK361394,349,MK032,4,Loaded,20.5,1,0.0606,0,0,0
354,MK771737,350,MK032,4,Loaded,27.1,0,0.0635,0,0,0
355,MK175958,350,MK032,4,Loaded,24.4,0,0.0668,0,0,0
356,MK197027,351,MK032,4,Loaded,18.4,3,0.0707,0,0,0
357,MK792275,352,MK032,4,Loaded,19.5,3,0.0480,0,0,0
358,MK535640,352,MK032,3,Make-up,26.9,2,0.0992,0,0,0
359,MK595686,354,MK032,3,Make-up,29.8,3,0.0617,0,0,0
360,MK876947,354,MK032,3,Make-up,27.6,1,0.2040,0,0,0
361,MK225182,355,MK032,3,Make-up,8.9,0,0.0511,0,0,0
362,MK537937,356,MK032,3,Make-up,15.7,2,0.0603,0,0,0
363,MK884373,356,MK032,3,Make-up,27.3,2,0.0287,0,0,0
364,MK352223,357,MK032,3,Make-up,31.1,0,0.0635,0,0,0
365,MK111526,357,MK032,3,Make-up,24.9,2,0.1142,0,0,0
366,MK500470,358,MK032,3,Make-up,30.6,0,0.1412,0,0,0
367,MK938570,359,MK214,4,Loaded,20.9,2,0.0844,0,0,0
368,MK972155,359,MK214,7,Held,29.3,2,0.8480,1,0,0
369,MK765498,360,MK214,4,Loaded,26.5,0,0.0602,0,0,0
370,MK657382,361,MK214,4,Loaded,18.7,1,0.0325,0,0,1
371,MK752244,362,MK214,4,Loaded,24.3,2,0.1697,0,0,0
372,MK663739,363,MK056,3,Make-up,8.1,3,0.0496,0,0,0
373,MK512559,363,MK056,3,Make-up,10.9,2,0.0152,0,0,0
374,MK810389,368,MK056,3,Make-up,23.4,0,0.3695,0,0,0
375,MK927770,368,MK056,3,Make-up,24.4,3,0.0379,0,0,0
