id,flight_no,airline,type,reg,airport,arrival,sched,est,delay,state,stand,gate,belt,pax_cap,pax,checked_in,boarded,bags,bags_loaded,delay_risk
37,MK049,MK,332,3B-NLG,DUR,1,790,790,0,0,A1,1,2,247,178,0,0,139,0,0.0000
38,MK050,MK,332,3B-NLG,DUR,0,885,885,0,0,A1,1,-,247,206,206,206,136,14,0.6835
39,MK207,MK,AT7,3B-NUG,RRG,1,815,833,18,14,A6,6,3,72,61,0,0,46,0,0.0000
40,MK208,MK,AT7,3B-NUG,RRG,0,900,907,7,0,A6,6,-,72,69,69,69,54,3,0.7097
41,4Z254,4Z,E90,ZS-ULD,JNB,1,845,854,9,0,A8,8,1,104,77,0,0,72,0,0.0000
42,4Z255,4Z,E90,ZS-ULD,JNB,0,930,930,0,0,A8,8,-,104,82,82,82,97,5,0.6681
43,MK043,MK,339,3B-NQL,DEL,1,870,870,0,0,A2,2,2,288,272,0,0,167,0,0.0000
44,MK044,MK,339,3B-NQL,DEL,0,1265,1351,86,14,A3,3,-,288,268,268,268,161,14,0.7311
45,UU978,UU,320,F-OJMD,RUN,1,900,900,0,0,A5,5,2,180,125,0,0,140,0,0.0000
46,UU979,UU,320,F-OJMD,RUN,0,985,985,0,0,A5,5,-,180,167,167,167,189,11,0.6525
47,DE2314,DE,333,D-ANVS,FRA,1,930,944,14,0,A1,1,4,298,244,0,0,184,0,0.0000
48,DE2315,DE,333,D-ANVS,FRA,0,1290,1373,83,14,R14,34,-,298,227,227,227,292,16,0.8810
49,MK209,MK,AT7,3B-NBK,RRG,1,950,950,0,0,A8,8,1,72,57,0,0,55,0,0.0000
50,MK210,MK,AT7,3B-NBK,RRG,0,1035,1041,6,0,A8,8,-,72,54,54,54,53,4,0.6580
51,SV831,SV,789,HZ-ART,JED,1,985,991,6,0,A2,2,3,290,238,0,0,314,0,0.0000
52,SV832,SV,789,HZ-ART,JED,0,1320,1320,0,0,R9,29,-,290,224,224,224,192,14,0.8640
53,MK045,MK,332,3B-NVP,CPT,1,1010,1010,0,0,A3,3,2,247,182,0,0,142,0,0.0000
54,MK046,MK,332,3B-NVP,CPT,0,1105,1105,0,0,A3,3,-,247,215,215,215,214,13,0.7488
55,BA2065,BA,789,G-ZODY,LGW,1,1040,1040,0,0,A1,1,5,290,202,0,0,233,0,0.0000
56,BA2066,BA,789,G-ZODY,LGW,0,1345,1345,0,0,R13,33,-,290,225,225,225,221,17,0.8468
57,MK211,MK,AT7,3B-NHL,RRG,1,1065,1076,11,0,A8,8,3,72,63,0,0,73,0,0.0000
58,MK212,MK,AT7,3B-NHL,RRG,0,1150,1150,0,0,A8,8,-,72,62,62,62,71,5,0.7650
59,MK017,MK,359,3B-NAF,CDG,1,1090,1090,0,0,A2,2,2,326,306,0,0,334,0,0.0000
60,MK016,MK,359,3B-NAF,CDG,0,1300,1300,0,0,A4,4,-,326,245,245,245,139,14,0.7224
61,EK703,EK,77W,A6-ENN,DXB,1,1120,1120,0,0,A1,1,2,354,298,0,0,184,0,0.0000
62,EK704,EK,77W,A6-ENN,DXB,0,1400,1400,0,0,A4,4,-,354,222,222,222,138,15,0.6780
63,MK053,MK,AT7,3B-NLJ,SEZ,1,1145,1145,0,0,A6,6,3,72,49,0,0,55,0,0.0000
64,MK054,MK,AT7,3B-NLJ,SEZ,0,1235,1235,0,0,A6,6,-,72,59,59,59,55,3,0.7613
65,4Z256,4Z,E90,ZS-VFY,JNB,1,1170,1170,0,0,A8,8,4,104,66,0,0,46,0,0.0000
66,4Z257,4Z,E90,ZS-VFY,JNB,0,1255,1331,76,14,A8,8,-,104,81,81,81,104,4,0.7696
67,MK031,MK,339,3B-NGO,KUL,1,1195,1195,0,0,A2,2,3,288,235,0,0,210,0,0.0000
68,MK032,MK,339,3B-NGO,KUL,0,1385,1412,27,14,R1,21,-,288,217,217,217,273,12,0.8342
69,MK213,MK,AT7,3B-NBS,RRG,1,1220,1220,0,0,A7,7,1,72,58,0,0,76,0,0.0000
70,MK214,MK,AT7,3B-NBS,RRG,0,1310,1310,0,0,A7,7,-,72,55,55,55,38,4,0.7660
71,MK055,MK,332,3B-NJO,PER,1,1250,1250,0,0,A1,1,5,247,188,0,0,153,0,0.0000
72,MK056,MK,332,3B-NJO,PER,0,1420,1420,0,0,A1,1,-,247,187,187,187,205,0,0.6865
